No,GH Project,Link SO,Snippet ID,Dataset Status,Before Dataset Path,After Dataset Path,Stack Overflow Java File Path,Stack Overflow Method Name,Stack Overflow Start Line,Stack Overflow End Line,Final Manual Validation,Recommendation Type
458,alibaba,https://stackoverflow.com/questions/58617321,so_58617321_block_2,ELIGIBLE,dataset/before/so_58617321_block_2.java,dataset/after/so_58617321_block_2.java,58617321/58617321_2_recent.java,method,1,17,Agress Yes,Improving Code
459,alibaba,https://stackoverflow.com/questions/58370217,so_58370217_block_2,ELIGIBLE,dataset/before/so_58370217_block_2.java,dataset/after/so_58370217_block_2.java,58370217/58370217_2_recent.java,method,1,45,Agress Yes,Improving Code
460,alibaba,https://stackoverflow.com/questions/41842039,so_41842039_block_2,ELIGIBLE,dataset/before/so_41842039_block_2.java,dataset/after/so_41842039_block_2.java,41842039/41842039_2_recent.java,method,1,43,Agree No,""
461,alibaba,https://stackoverflow.com/questions/19440217,so_19440217_block_2,ELIGIBLE,dataset/before/so_19440217_block_2.java,dataset/after/so_19440217_block_2.java,19440217/19440217_2_recent.java,method,1,18,Agree No,""
462,alibaba,https://stackoverflow.com/questions/3870210,so_3870210_block_4,ELIGIBLE,dataset/before/so_3870210_block_4.java,dataset/after/so_3870210_block_4.java,3870210/3870210_4_recent.java,method,1,29,Agress Yes,Improving Code
463,alibaba,https://stackoverflow.com/questions/4429257,so_4429257_block_2,ELIGIBLE,dataset/before/so_4429257_block_2.java,dataset/after/so_4429257_block_2.java,4429257/4429257_2_9347476.java,newBundle,2,32,Agree No,""
400,aliview,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
688,aliyun,https://stackoverflow.com/questions/801987,so_801987_block_2,ELIGIBLE,dataset/before/so_801987_block_2.java,dataset/after/so_801987_block_2.java,801987/801987_2_recent.java,method,1,26,Agree No,""
103,allwefantasy,https://stackoverflow.com/questions/59664498,so_59664498_block_2,ELIGIBLE,dataset/before/so_59664498_block_2.java,dataset/after/so_59664498_block_2.java,59664498/59664498_2_recent.java,method,1,68,Agress Yes,Bug Fixing
3,alphaautoleak,https://stackoverflow.com/questions/25985720,so_25985720_block_14,ELIGIBLE,dataset/before/so_25985720_block_14.java,dataset/after/so_25985720_block_14.java,25985720/25985720_14_recent.java,method,1,21,Agree No,""
674,ambiverse-nlu,https://stackoverflow.com/questions/18454342,so_18454342_block_2,ELIGIBLE,dataset/before/so_18454342_block_2.java,dataset/after/so_18454342_block_2.java,18454342/18454342_2_recent.java,method,1,29,Agree No,""
727,ant-media,https://stackoverflow.com/questions/7901334,so_7901334_block_2,ELIGIBLE,dataset/before/so_7901334_block_2.java,dataset/after/so_7901334_block_2.java,7901334/7901334_2_recent.java,method,1,124,Agree No,""
728,ant-media,https://stackoverflow.com/questions/7901334,so_7901334_block_2,ELIGIBLE,dataset/before/so_7901334_block_2.java,dataset/after/so_7901334_block_2.java,7901334/7901334_2_recent.java,method,1,124,Agree No,""
24,antonkast,https://stackoverflow.com/questions/359634,so_359634_block_2,ELIGIBLE,dataset/before/so_359634_block_2.java,dataset/after/so_359634_block_2.java,359634/359634_2_recent.java,method,1,46,Agress Yes,Bug Fixing
432,anuj-kumar-sharma,https://stackoverflow.com/questions/31386664,so_31386664_block_4,ELIGIBLE,dataset/before/so_31386664_block_4.java,dataset/after/so_31386664_block_4.java,31386664/31386664_4_95005617.java,method,1,22,Agree No,""
433,anuj-kumar-sharma,https://stackoverflow.com/questions/31386664,so_31386664_block_4,ELIGIBLE,dataset/before/so_31386664_block_4.java,dataset/after/so_31386664_block_4.java,31386664/31386664_4_95005617.java,method,1,22,Agree No,""
225,anuken,https://stackoverflow.com/questions/6711693,so_6711693_block_2,ELIGIBLE,dataset/before/so_6711693_block_2.java,dataset/after/so_6711693_block_2.java,6711693/6711693_2_recent.java,method,1,20,Agree No,""
226,anuken,https://stackoverflow.com/questions/29866762,so_29866762_block_2,ELIGIBLE,dataset/before/so_29866762_block_2.java,dataset/after/so_29866762_block_2.java,29866762/29866762_2_89013107.java,method,1,40,Agree No,""
514,apache,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
515,apache,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
516,apache,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
517,apache,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
518,apache,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
519,apache,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
520,apache,https://stackoverflow.com/questions/28901180,so_28901180_block_2,ELIGIBLE,dataset/before/so_28901180_block_2.java,dataset/after/so_28901180_block_2.java,28901180/28901180_2_recent.java,AnimatedChart,13,37,Agress Yes,Improving Code
521,apache,https://stackoverflow.com/questions/9293885,so_9293885_block_2,ELIGIBLE,dataset/before/so_9293885_block_2.java,dataset/after/so_9293885_block_2.java,9293885/9293885_2_recent.java,method,1,18,Agress Yes,Improving Code
522,apache,https://stackoverflow.com/questions/58370217,so_58370217_block_2,ELIGIBLE,dataset/before/so_58370217_block_2.java,dataset/after/so_58370217_block_2.java,58370217/58370217_2_recent.java,method,1,45,Agress Yes,Improving Code
523,apache,https://stackoverflow.com/questions/42681543,so_42681543_block_4,ELIGIBLE,dataset/before/so_42681543_block_4.java,dataset/after/so_42681543_block_4.java,42681543/42681543_4_recent.java,method,1,166,Agress Yes,Bug Fixing
524,apache,https://stackoverflow.com/questions/42681543,so_42681543_block_4,ELIGIBLE,dataset/before/so_42681543_block_4.java,dataset/after/so_42681543_block_4.java,42681543/42681543_4_recent.java,method,1,166,Agree No,""
525,apache,https://stackoverflow.com/questions/18454342,so_18454342_block_2,ELIGIBLE,dataset/before/so_18454342_block_2.java,dataset/after/so_18454342_block_2.java,18454342/18454342_2_recent.java,method,1,29,Agree No,""
526,apache,https://stackoverflow.com/questions/42681543,so_42681543_block_4,ELIGIBLE,dataset/before/so_42681543_block_4.java,dataset/after/so_42681543_block_4.java,42681543/42681543_4_recent.java,method,1,166,Agree No,""
527,apache,https://stackoverflow.com/questions/42681543,so_42681543_block_4,ELIGIBLE,dataset/before/so_42681543_block_4.java,dataset/after/so_42681543_block_4.java,42681543/42681543_4_recent.java,method,1,166,Agress Yes,Bug Fixing
546,apna-college,https://stackoverflow.com/questions/46193578,so_46193578_block_2,ELIGIBLE,dataset/before/so_46193578_block_2.java,dataset/after/so_46193578_block_2.java,46193578/46193578_2_recent.java,method,1,62,Agree No,""
117,aragozin,https://stackoverflow.com/questions/61780137,so_61780137_block_2,ELIGIBLE,dataset/before/so_61780137_block_2.java,dataset/after/so_61780137_block_2.java,61780137/61780137_2_recent.java,method,1,50,Agress Yes,Improving Code
655,arduino,https://stackoverflow.com/questions/58346204,so_58346204_block_2,ELIGIBLE,dataset/before/so_58346204_block_2.java,dataset/after/so_58346204_block_2.java,58346204/58346204_2_recent.java,method,1,103,Agree No,""
656,arduino,https://stackoverflow.com/questions/58346204,so_58346204_block_2,ELIGIBLE,dataset/before/so_58346204_block_2.java,dataset/after/so_58346204_block_2.java,58346204/58346204_2_recent.java,method,1,103,Agree No,""
712,artisynth,https://stackoverflow.com/questions/6236324,so_6236324_block_2,ELIGIBLE,dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,6236324/6236324_2_recent.java,method,1,521,Agree No,""
713,artisynth,https://stackoverflow.com/questions/6236324,so_6236324_block_2,ELIGIBLE,dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,6236324/6236324_2_recent.java,method,1,521,Agree No,""
714,artisynth,https://stackoverflow.com/questions/6236324,so_6236324_block_2,ELIGIBLE,dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,6236324/6236324_2_recent.java,method,1,521,Agree No,""
715,artisynth,https://stackoverflow.com/questions/6236324,so_6236324_block_2,ELIGIBLE,dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,6236324/6236324_2_recent.java,method,1,521,Agree No,""
716,artisynth,https://stackoverflow.com/questions/6236324,so_6236324_block_2,ELIGIBLE,dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,6236324/6236324_2_recent.java,method,1,521,Agree No,""
717,artisynth,https://stackoverflow.com/questions/6236324,so_6236324_block_2,ELIGIBLE,dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,6236324/6236324_2_recent.java,method,1,521,Agree No,""
355,asolarlez,https://stackoverflow.com/questions/1520212,so_1520212_block_2,ELIGIBLE,dataset/before/so_1520212_block_2.java,dataset/after/so_1520212_block_2.java,1520212/1520212_2_recent.java,shuffleArray,19,31,Agree No,""
408,asystat,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
793,atilika,https://stackoverflow.com/questions/35057638,so_35057638_block_2,ELIGIBLE,dataset/before/so_35057638_block_2.java,dataset/after/so_35057638_block_2.java,35057638/35057638_2_109493925.java,method,1,16,Agree No,""
118,atjiu,https://stackoverflow.com/questions/41471859,so_41471859_block_4,ELIGIBLE,dataset/before/so_41471859_block_4.java,dataset/after/so_41471859_block_4.java,41471859/41471859_4_135239059.java,method,1,15,Agree No,""
39,aws,https://stackoverflow.com/questions/32855556,so_32855556_block_4,ELIGIBLE,dataset/before/so_32855556_block_4.java,dataset/after/so_32855556_block_4.java,32855556/32855556_4_100737457.java,method,1,12,Agress Yes,Improving Code
552,azure,https://stackoverflow.com/questions/30942772,so_30942772_block_4,ELIGIBLE,dataset/before/so_30942772_block_4.java,dataset/after/so_30942772_block_4.java,30942772/30942772_4_recent.java,method,1,62,Agree No,""
553,azure,https://stackoverflow.com/questions/32365355,so_32365355_block_2,ELIGIBLE,dataset/before/so_32365355_block_2.java,dataset/after/so_32365355_block_2.java,32365355/32365355_2_recent.java,main,8,71,Agree No,""
554,azure,https://stackoverflow.com/questions/32365355,so_32365355_block_2,ELIGIBLE,dataset/before/so_32365355_block_2.java,dataset/after/so_32365355_block_2.java,32365355/32365355_2_recent.java,main,8,71,Agree No,""
231,ballerina-platform,https://stackoverflow.com/questions/18454342,so_18454342_block_2,ELIGIBLE,dataset/before/so_18454342_block_2.java,dataset/after/so_18454342_block_2.java,18454342/18454342_2_recent.java,method,1,29,Agree No,""
232,ballerina-platform,https://stackoverflow.com/questions/18454342,so_18454342_block_2,ELIGIBLE,dataset/before/so_18454342_block_2.java,dataset/after/so_18454342_block_2.java,18454342/18454342_2_recent.java,method,1,29,Agree No,""
536,barchart,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
569,bazelbuild,https://stackoverflow.com/questions/63342907,so_63342907_block_2,ELIGIBLE,dataset/before/so_63342907_block_2.java,dataset/after/so_63342907_block_2.java,63342907/63342907_2_recent.java,method,1,43,Agree No,""
570,bazelbuild,https://stackoverflow.com/questions/54298032,so_54298032_block_2,ELIGIBLE,dataset/before/so_54298032_block_2.java,dataset/after/so_54298032_block_2.java,54298032/54298032_2_190009745.java,copy,52,65,Agress Yes,Improving Code
556,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
557,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
558,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
559,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
560,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
561,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
562,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
563,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
564,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
565,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
566,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
567,bcgit,https://stackoverflow.com/questions/40056844,so_40056844_block_2,ELIGIBLE,dataset/before/so_40056844_block_2.java,dataset/after/so_40056844_block_2.java,40056844/40056844_2_recent.java,method,1,17,Agress Yes,Bug Fixing
531,bluesoft-rnd,https://stackoverflow.com/questions/138950,so_138950_block_6,ELIGIBLE,dataset/before/so_138950_block_6.java,dataset/after/so_138950_block_6.java,138950/138950_6_recent.java,doFilter,15,28,Agree No,""
484,boecker-lab,https://stackoverflow.com/questions/12981202,so_12981202_block_2,ELIGIBLE,dataset/before/so_12981202_block_2.java,dataset/after/so_12981202_block_2.java,12981202/12981202_2_recent.java,method,1,186,Agree No,""
485,boecker-lab,https://stackoverflow.com/questions/12981202,so_12981202_block_2,ELIGIBLE,dataset/before/so_12981202_block_2.java,dataset/after/so_12981202_block_2.java,12981202/12981202_2_recent.java,method,1,186,Agree No,""
430,bookdash,https://stackoverflow.com/questions/54298032,so_54298032_block_2,ELIGIBLE,dataset/before/so_54298032_block_2.java,dataset/after/so_54298032_block_2.java,54298032/54298032_2_recent.java,copy,58,72,Agree No,""
156,bramp,https://stackoverflow.com/questions/31764338,so_31764338_block_6,ELIGIBLE,dataset/before/so_31764338_block_6.java,dataset/after/so_31764338_block_6.java,31764338/31764338_6_96458495.java,write,15,24,Agree No,""
508,breznak,https://stackoverflow.com/questions/16540679,so_16540679_block_1,ELIGIBLE,dataset/before/so_16540679_block_1.java,dataset/after/so_16540679_block_1.java,16540679/16540679_1_64924359.java,method,1,26,Agree No,""
110,bumptech,https://stackoverflow.com/questions/33561612,so_33561612_block_2,ELIGIBLE,dataset/before/so_33561612_block_2.java,dataset/after/so_33561612_block_2.java,33561612/33561612_2_recent.java,method,1,33,Agress Yes,Improving Code
591,bwssytems,https://stackoverflow.com/questions/12981202,so_12981202_block_2,ELIGIBLE,dataset/before/so_12981202_block_2.java,dataset/after/so_12981202_block_2.java,12981202/12981202_2_recent.java,method,1,186,Agree No,""
592,bwssytems,https://stackoverflow.com/questions/12981202,so_12981202_block_2,ELIGIBLE,dataset/before/so_12981202_block_2.java,dataset/after/so_12981202_block_2.java,12981202/12981202_2_recent.java,method,1,186,Agree No,""
115,camunda-community-hub,https://stackoverflow.com/questions/59430454,so_59430454_block_2,ELIGIBLE,dataset/before/so_59430454_block_2.java,dataset/after/so_59430454_block_2.java,59430454/59430454_2_recent.java,method,1,72,Agree No,""
285,camunda-consulting,https://stackoverflow.com/questions/15160629,so_15160629_block_2,ELIGIBLE,dataset/before/so_15160629_block_2.java,dataset/after/so_15160629_block_2.java,15160629/15160629_2_recent.java,method,1,25,Agress Yes,Improving Code
286,camunda-consulting,https://stackoverflow.com/questions/15160629,so_15160629_block_2,ELIGIBLE,dataset/before/so_15160629_block_2.java,dataset/after/so_15160629_block_2.java,15160629/15160629_2_recent.java,method,1,25,Agress Yes,Improving Code
287,camunda-consulting,https://stackoverflow.com/questions/15160629,so_15160629_block_2,ELIGIBLE,dataset/before/so_15160629_block_2.java,dataset/after/so_15160629_block_2.java,15160629/15160629_2_recent.java,method,1,25,Agress Yes,Improving Code
288,camunda-consulting,https://stackoverflow.com/questions/15160629,so_15160629_block_2,ELIGIBLE,dataset/before/so_15160629_block_2.java,dataset/after/so_15160629_block_2.java,15160629/15160629_2_recent.java,method,1,25,Agress Yes,Improving Code
289,camunda-consulting,https://stackoverflow.com/questions/56259221,so_56259221_block_5,ELIGIBLE,dataset/before/so_56259221_block_5.java,dataset/after/so_56259221_block_5.java,56259221/56259221_5_recent.java,method,1,13,Agree No,""
290,camunda-consulting,https://stackoverflow.com/questions/15160629,so_15160629_block_2,ELIGIBLE,dataset/before/so_15160629_block_2.java,dataset/after/so_15160629_block_2.java,15160629/15160629_2_recent.java,method,1,25,Agress Yes,Improving Code
291,camunda-consulting,https://stackoverflow.com/questions/15160629,so_15160629_block_2,ELIGIBLE,dataset/before/so_15160629_block_2.java,dataset/after/so_15160629_block_2.java,15160629/15160629_2_recent.java,method,1,25,Agress Yes,Improving Code
